X18X78,X18X78.25,X18X78.5,X18X78.75,X18X79,X18X79.25,X18X79.5
0.200000003,0.300000012,3.5,5.099999905,4.699999809,0.800000012,0.699999988
7.400000095,9.399999619,11.19999981,10.60000038,8.100000381,9,8.800000191
17,15.39999962,27.79999924,36.79999924,36.5,14.60000038,13.80000019
23.89999962,14.69999981,1.5,0.200000003,0,0,0
0,0.100000001,1.299999952,11.30000019,20.29999924,34.40000153,34.5
10,6.300000191,0,0,0,0,0
0,0,0,5.199999809,10.19999981,18.60000038,18.60000038
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0.200000003,0.300000012,5.800000191,11.10000038,19.89999962,19.89999962
13,10.10000038,8.699999809,9.899999619,9.5,3.599999905,3.299999952
1.200000048,1.399999976,0.699999988,0.400000006,0,0,0
2.599999905,0.800000012,0,0,0,0,0.600000024
5.300000191,3.5,2.400000095,1.399999976,0.200000003,0,0
1.200000048,3.200000048,9.199999809,16.79999924,22.70000076,26.89999962,27.70000076
0.800000012,0,1.600000024,2.400000095,2.299999952,0.300000012,0.200000003
4.800000191,8.600000381,9.300000191,2.099999905,1.100000024,1.299999952,1.299999952
10.5,8.899999619,3.599999905,0.699999988,0.100000001,0,0
24.39999962,16.20000076,1,0.300000012,0,0,0
0.400000006,0.899999976,3,4.099999905,4.199999809,2.5,2.700000048
4.099999905,8.5,8.800000191,2,0.699999988,0,0
0,0,0,0,0.200000003,0.400000006,1.200000048
8,12.5,11.69999981,11.19999981,9.100000381,14.80000019,15.30000019
24.29999924,19.60000038,10.10000038,3.700000048,1.899999976,0.899999976,1.100000024
13.19999981,11.80000019,9.800000191,6.300000191,2.299999952,2.799999952,2.799999952
7.199999809,7,3.799999952,4.5,6.5,9.800000191,9.800000191
10.89999962,9,3.099999905,2.200000048,1,1.399999976,1.399999976
0,0,3.799999952,5.800000191,5.599999905,1.100000024,1
0.300000012,0.5,0.699999988,2.900000095,4.800000191,8.399999619,8.399999619
0,0.200000003,0.200000003,0.400000006,0.5,1,1
0,0.300000012,0.300000012,0,0,0,0
0,0,3.5,5.400000095,5.099999905,1,0.899999976
